;(mm) Precipitation (ERA5_AG) at CE_ID_0. 2019-08-01 to 2024-08-01
1-8-2019;0.00
2-8-2019;0.02
3-8-2019;0.00
4-8-2019;0.00
5-8-2019;0.00
6-8-2019;0.00
7-8-2019;0.00
8-8-2019;0.00
9-8-2019;0.01
10-8-2019;0.17
11-8-2019;0.00
12-8-2019;0.00
13-8-2019;0.00
14-8-2019;0.00
15-8-2019;0.01
16-8-2019;0.00
17-8-2019;0.00
18-8-2019;0.01
19-8-2019;0.00
20-8-2019;0.00
21-8-2019;0.00
22-8-2019;0.00
23-8-2019;0.00
24-8-2019;0.00
25-8-2019;0.00
26-8-2019;0.00
27-8-2019;0.00
28-8-2019;0.00
29-8-2019;0.00
30-8-2019;0.00
31-8-2019;0.00
1-9-2019;0.00
2-9-2019;0.00
3-9-2019;0.00
4-9-2019;0.00
5-9-2019;0.00
6-9-2019;10015.00
7-9-2019;0.16
8-9-2019;0.00
9-9-2019;0.00
10-9-2019;0.00
11-9-2019;0.00
12-9-2019;0.00
13-9-2019;0.00
14-9-2019;0.00
15-9-2019;0.01
16-9-2019;0.00
17-9-2019;0.00
18-9-2019;0.00
19-9-2019;0.00
20-9-2019;0.00
21-9-2019;0.00
22-9-2019;0.00
23-9-2019;0.00
24-9-2019;0.44
25-9-2019;0.07
26-9-2019;0.00
27-9-2019;0.00
28-9-2019;0.00
29-9-2019;0.00
30-9-2019;0.00
1-10-2019;0.05
2-10-2019;0.08
3-10-2019;0.00
4-10-2019;0.00
5-10-2019;0.00
6-10-2019;0.00
7-10-2019;0.00
8-10-2019;0.00
9-10-2019;0.04
10-10-2019;11134.00
11-10-2019;0.18
12-10-2019;0.00
13-10-2019;0.00
14-10-2019;0.00
15-10-2019;0.00
16-10-2019;0.01
17-10-2019;0.00
18-10-2019;0.00
19-10-2019;0.00
20-10-2019;0.00
21-10-2019;0.00
22-10-2019;0.00
23-10-2019;10674.00
24-10-2019;13364.00
25-10-2019;0.69
26-10-2019;0.24
27-10-2019;0.01
28-10-2019;0.60
29-10-2019;0.82
30-10-2019;0.06
31-10-2019;0.55
1-11-2019;0.43
2-11-2019;0.70
3-11-2019;0.00
4-11-2019;0.10
5-11-2019;0.01
6-11-2019;0.00
7-11-2019;0.00
8-11-2019;2182.00
9-11-2019;0.10
10-11-2019;0.65
11-11-2019;38535.00
12-11-2019;61233.00
13-11-2019;20994.00
14-11-2019;0.20
15-11-2019;0.12
16-11-2019;0.00
17-11-2019;0.00
18-11-2019;20014.00
19-11-2019;0.82
20-11-2019;60563.00
21-11-2019;19183.00
22-11-2019;26739.00
23-11-2019;94833.00
24-11-2019;71494.00
25-11-2019;0.58
26-11-2019;0.02
27-11-2019;0.02
28-11-2019;0.00
29-11-2019;0.00
30-11-2019;0.00
1-12-2019;0.00
2-12-2019;0.00
3-12-2019;0.00
4-12-2019;0.07
5-12-2019;0.03
6-12-2019;0.01
7-12-2019;59408.00
8-12-2019;268174.00
9-12-2019;17599.00
10-12-2019;330598.00
11-12-2019;12947.00
12-12-2019;0.74
13-12-2019;0.21
14-12-2019;0.01
15-12-2019;0.00
16-12-2019;0.02
17-12-2019;0.07
18-12-2019;0.00
19-12-2019;0.02
20-12-2019;0.04
21-12-2019;0.00
22-12-2019;0.00
23-12-2019;0.11
24-12-2019;0.00
25-12-2019;0.00
26-12-2019;0.00
27-12-2019;0.00
28-12-2019;0.02
29-12-2019;0.01
30-12-2019;0.00
31-12-2019;0.00
1-1-2020;0.07
2-1-2020;0.01
3-1-2020;0.04
4-1-2020;0.00
5-1-2020;0.06
6-1-2020;0.25
7-1-2020;0.00
8-1-2020;0.49
9-1-2020;52025.00
10-1-2020;88674.00
11-1-2020;0.50
12-1-2020;38851.00
13-1-2020;40558.00
14-1-2020;109472.00
15-1-2020;0.00
16-1-2020;0.00
17-1-2020;12186.00
18-1-2020;242183.00
19-1-2020;93884.00
20-1-2020;0.88
21-1-2020;0.08
22-1-2020;0.01
23-1-2020;0.00
24-1-2020;0.61
25-1-2020;0.01
26-1-2020;0.00
27-1-2020;0.33
28-1-2020;0.18
29-1-2020;0.00
30-1-2020;0.00
31-1-2020;0.00
1-2-2020;0.00
2-2-2020;0.00
3-2-2020;0.01
4-2-2020;0.20
5-2-2020;0.02
6-2-2020;36464.00
7-2-2020;65737.00
8-2-2020;347074.00
9-2-2020;41457.00
10-2-2020;193902.00
11-2-2020;123128.00
12-2-2020;11216.00
13-2-2020;0.44
14-2-2020;0.03
15-2-2020;0.06
16-2-2020;16907.00
17-2-2020;1.00
18-2-2020;0.28
19-2-2020;0.13
20-2-2020;0.14
21-2-2020;0.21
22-2-2020;0.80
23-2-2020;198112.00
24-2-2020;12568.00
25-2-2020;0.04
26-2-2020;0.00
27-2-2020;0.00
28-2-2020;0.00
29-2-2020;0.03
1-3-2020;0.02
2-3-2020;36769.00
3-3-2020;0.35
4-3-2020;0.15
5-3-2020;0.07
6-3-2020;0.00
7-3-2020;0.00
8-3-2020;0.10
9-3-2020;0.00
10-3-2020;0.00
11-3-2020;0.00
12-3-2020;0.00
13-3-2020;0.04
14-3-2020;0.00
15-3-2020;0.00
16-3-2020;0.48
17-3-2020;0.12
18-3-2020;0.00
19-3-2020;0.06
20-3-2020;0.05
21-3-2020;0.02
22-3-2020;0.02
