;(mm) Hargreaves Potential Evapotranspiration (ERA5_AG) at CE_ID_0. 2019-08-01 to 2024-08-01
1-8-2019;3.3788
2-8-2019;3.1868
3-8-2019;3.5686
4-8-2019;3.7199
5-8-2019;3.7909
6-8-2019;4.2377
7-8-2019;3.9478
8-8-2019;4.2795
9-8-2019;3.1602
10-8-2019;2.2371
11-8-2019;3.7974
12-8-2019;4.228
13-8-2019;3.6908
14-8-2019;3.9798
15-8-2019;3.2977
16-8-2019;3.9726
17-8-2019;4.462
18-8-2019;3.3624
19-8-2019;4.1309
20-8-2019;3.6959
21-8-2019;3.2609
22-8-2019;3.7305
23-8-2019;4.0887
24-8-2019;4.1041
25-8-2019;4.0229
26-8-2019;4.5286
27-8-2019;4.8943
28-8-2019;4.7271
29-8-2019;4.0557
30-8-2019;4.8168
31-8-2019;4.9107
1-9-2019;4.0098
2-9-2019;4.3053
3-9-2019;4.4875
4-9-2019;4.8565
5-9-2019;5.0616
6-9-2019;3.3333
7-9-2019;2.7796
8-9-2019;3.7745
9-9-2019;4.6218
10-9-2019;5.3107
11-9-2019;5.3912
12-9-2019;5.7375
13-9-2019;6.0073
14-9-2019;5.2835
15-9-2019;4.6788
16-9-2019;5.441
17-9-2019;5.3649
18-9-2019;5.5757
19-9-2019;5.2581
20-9-2019;5.3486
21-9-2019;5.6104
22-9-2019;5.9292
23-9-2019;6.119
24-9-2019;3.1658
25-9-2019;3.8622
26-9-2019;4.2062
27-9-2019;4.8295
28-9-2019;6.0895
29-9-2019;6.2896
30-9-2019;6.7689
1-10-2019;4.1849
2-10-2019;3.59
3-10-2019;4.7636
4-10-2019;6.4452
5-10-2019;6.384
6-10-2019;5.9568
7-10-2019;6.5331
8-10-2019;7.0438
9-10-2019;6.2611
10-10-2019;6.5792
11-10-2019;3.9235
12-10-2019;5.906
13-10-2019;6.8692
14-10-2019;4.9129
15-10-2019;6.4193
16-10-2019;5.2356
17-10-2019;5.9651
18-10-2019;6.5462
19-10-2019;6.7451
20-10-2019;6.9038
21-10-2019;7.812
22-10-2019;5.4811
23-10-2019;6.4418
24-10-2019;7.0645
25-10-2019;6.8637
26-10-2019;7.2158
27-10-2019;6.8589
28-10-2019;8.1154
29-10-2019;6.3607
30-10-2019;5.2478
31-10-2019;4.6713
1-11-2019;4.4723
2-11-2019;5.2144
3-11-2019;7.3428
4-11-2019;6.3538
5-11-2019;6.3468
6-11-2019;6.9151
7-11-2019;7.7298
8-11-2019;7.4717
9-11-2019;5.1592
10-11-2019;5.2587
11-11-2019;6.7369
12-11-2019;5.1224
13-11-2019;5.2702
14-11-2019;6.6713
15-11-2019;6.5398
16-11-2019;6.8805
17-11-2019;7.3325
18-11-2019;7.2876
19-11-2019;6.2948
20-11-2019;5.8246
21-11-2019;5.9501
22-11-2019;6.6735
23-11-2019;6.4139
24-11-2019;6.7706
25-11-2019;7.0523
26-11-2019;6.3443
27-11-2019;6.7512
28-11-2019;7.5723
29-11-2019;7.4433
30-11-2019;7.4398
1-12-2019;7.628
2-12-2019;7.3403
3-12-2019;7.4875
4-12-2019;6.3948
5-12-2019;3.9763
6-12-2019;5.4028
7-12-2019;5.6177
8-12-2019;3.3073
9-12-2019;3.6648
10-12-2019;2.8787
11-12-2019;4.7096
12-12-2019;5.8837
13-12-2019;4.4538
14-12-2019;5.5458
15-12-2019;7.0789
16-12-2019;4.7636
17-12-2019;5.4869
18-12-2019;6.7451
19-12-2019;7.4942
20-12-2019;7.416
21-12-2019;6.7677
22-12-2019;6.7919
23-12-2019;6.0573
24-12-2019;7.4199
25-12-2019;7.7119
26-12-2019;7.6258
27-12-2019;7.3409
28-12-2019;5.0951
29-12-2019;5.6749
30-12-2019;7.0747
31-12-2019;6.9515
1-1-2020;6.2283
2-1-2020;6.4056
3-1-2020;6.832
4-1-2020;7.0333
5-1-2020;6.8688
6-1-2020;6.7854
7-1-2020;6.2986
8-1-2020;6.7372
9-1-2020;5.418
10-1-2020;5.7832
11-1-2020;5.0669
12-1-2020;6.1702
13-1-2020;5.9119
14-1-2020;5.235
15-1-2020;5.6456
16-1-2020;6.3364
17-1-2020;5.8185
18-1-2020;4.8663
19-1-2020;4.6116
20-1-2020;3.73
21-1-2020;4.3125
22-1-2020;4.6486
23-1-2020;6.6507
24-1-2020;4.5846
25-1-2020;6.0541
26-1-2020;6.8594
27-1-2020;6.9525
28-1-2020;4.5495
29-1-2020;6.6126
30-1-2020;6.0666
31-1-2020;6.5355
1-2-2020;7.2839
2-2-2020;5.7581
3-2-2020;5.7409
4-2-2020;5.6871
5-2-2020;6.4619
6-2-2020;6.036
7-2-2020;5.8063
8-2-2020;4.1943
9-2-2020;3.9753
10-2-2020;3.709
11-2-2020;3.7713
12-2-2020;4.0932
13-2-2020;4.2686
14-2-2020;5.2204
15-2-2020;5.2611
16-2-2020;4.4835
17-2-2020;4.9708
18-2-2020;4.8823
19-2-2020;5.2163
20-2-2020;5.42
21-2-2020;5.802
22-2-2020;5.1038
23-2-2020;5.2758
24-2-2020;2.7148
25-2-2020;4.3379
26-2-2020;5.2471
27-2-2020;5.6637
28-2-2020;5.9808
29-2-2020;4.3758
1-3-2020;4.2019
2-3-2020;3.6601
3-3-2020;4.2607
4-3-2020;4.7642
5-3-2020;5.2174
6-3-2020;5.3664
7-3-2020;5.0928
8-3-2020;5.0085
9-3-2020;5.4135
10-3-2020;5.5478
11-3-2020;5.586
12-3-2020;5.3866
13-3-2020;5.2228
14-3-2020;5.4706
15-3-2020;5.3125
16-3-2020;4.4352
17-3-2020;3.4474
18-3-2020;4.4328
19-3-2020;5.4004
20-3-2020;4.9596
21-3-2020;5.2089
22-3-2020;4.6925
23-3-2020;4.9551
24-3-2020;4.6192
25-3-2020;5.1464
26-3-2020;5.6126
27-3-2020;3.8536
28-3-2020;3.3977
29-3-2020;4.865
30-3-2020;4.8602
31-3-2020;4.8129
1-4-2020;4.7103
2-4-2020;3.8796
3-4-2020;3.411
4-4-2020;3.1387
5-4-2020;4.603
6-4-2020;5.1323
7-4-2020;5.4465
8-4-2020;3.396
9-4-2020;2.6485
10-4-2020;3.0828
11-4-2020;4.3066
12-4-2020;4.9019
13-4-2020;5.1238
14-4-2020;4.5524
15-4-2020;4.1277
16-4-2020;4.2207
17-4-2020;3.3067
18-4-2020;3.4429
19-4-2020;3.5126
20-4-2020;3.6303
21-4-2020;3.9788
22-4-2020;3.6897
23-4-2020;3.6712
24-4-2020;3.7227
25-4-2020;4.0419
26-4-2020;3.5025
27-4-2020;3.1391
28-4-2020;3.4294
29-4-2020;3.4602
30-4-2020;3.7644
1-5-2020;3.8301
2-5-2020;3.5931
3-5-2020;3.9358
4-5-2020;3.8368
5-5-2020;3.2882
6-5-2020;3.4779
7-5-2020;2.9642
8-5-2020;3.196
9-5-2020;3.3191
10-5-2020;2.9523
11-5-2020;3.2264
12-5-2020;3.5629
13-5-2020;3.6761
14-5-2020;3.1333
15-5-2020;3.1492
16-5-2020;3.6707
17-5-2020;2.7171
18-5-2020;3.2851
19-5-2020;3.2655
20-5-2020;3.0333
21-5-2020;2.4385
22-5-2020;2.9381
23-5-2020;3.0112
24-5-2020;3.0316
25-5-2020;3.2489
26-5-2020;3.4733
27-5-2020;2.6274
28-5-2020;2.8249
29-5-2020;3.2622
30-5-2020;3.182
31-5-2020;3.0958
1-6-2020;3.0177
2-6-2020;2.9162
3-6-2020;2.847
4-6-2020;2.8323
5-6-2020;2.6497
6-6-2020;2.6524
7-6-2020;2.4822
8-6-2020;2.7534
9-6-2020;2.7506
10-6-2020;2.9081
11-6-2020;3.3039
12-6-2020;2.345
13-6-2020;2.4405
14-6-2020;2.4557
